,y,m/d,day,time,wheather,counts
0,2020,1 1,6,monring,0,862.0
1,2020,1 1,6,noon,0,702.0
2,2020,1 1,6,evening,1,637.0
3,2020,1 2,0,monring,2,66.15
4,2020,1 2,0,noon,2,60.45
5,2020,1 2,0,evening,0,937.0
6,2020,1 3,1,monring,2,12.55
7,2020,1 3,1,noon,0,369.0
8,2020,1 3,1,evening,2,26.35
9,2020,1 4,2,monring,1,254.0
10,2020,1 4,2,noon,1,219.0
11,2020,1 4,2,evening,0,444.0
12,2020,1 5,3,monring,0,378.0
13,2020,1 5,3,noon,1,181.5
14,2020,1 5,3,evening,1,210.0
15,2020,1 6,4,monring,1,203.0
16,2020,1 6,4,noon,2,7.550000000000001
17,2020,1 6,4,evening,0,403.0
18,2020,1 7,5,monring,0,454.0
19,2020,1 7,5,noon,0,333.0
20,2020,1 7,5,evening,1,362.0
21,2020,1 8,6,monring,0,782.0
22,2020,1 8,6,noon,2,48.800000000000004
23,2020,1 8,6,evening,0,854.0
24,2020,1 9,0,monring,0,950.0
25,2020,1 9,0,noon,2,68.45
26,2020,1 9,0,evening,0,1009.0
27,2020,1 10,1,monring,1,276.0
28,2020,1 10,1,noon,1,165.0
29,2020,1 10,1,evening,0,496.0
30,2020,1 11,2,monring,0,480.0
31,2020,1 11,2,noon,1,215.0
32,2020,1 11,2,evening,0,404.0
33,2020,1 12,3,monring,0,454.0
34,2020,1 12,3,noon,0,312.5
35,2020,1 12,3,evening,2,20.85
36,2020,1 13,4,monring,1,220.0
37,2020,1 13,4,noon,2,14.100000000000001
38,2020,1 13,4,evening,1,287.0
39,2020,1 14,5,monring,2,11.700000000000001
40,2020,1 14,5,noon,0,314.0
41,2020,1 14,5,evening,0,399.0
42,2020,1 15,6,monring,0,772.0
43,2020,1 15,6,noon,0,731.0
44,2020,1 15,6,evening,1,722.0
45,2020,1 16,0,monring,2,77.80000000000001
46,2020,1 16,0,noon,0,772.0
47,2020,1 16,0,evening,0,1016.0
48,2020,1 17,1,monring,1,190.0
49,2020,1 17,1,noon,0,300.0
50,2020,1 17,1,evening,0,328.0
51,2020,1 18,2,monring,0,454.0
52,2020,1 18,2,noon,0,374.0
53,2020,1 18,2,evening,1,263.0
54,2020,1 19,3,monring,0,372.0
55,2020,1 19,3,noon,1,181.0
56,2020,1 19,3,evening,0,348.5
57,2020,1 20,4,monring,0,415.0
58,2020,1 20,4,noon,0,385.0
59,2020,1 20,4,evening,0,407.0
60,2020,1 21,5,monring,0,353.0
61,2020,1 21,5,noon,1,122.0
62,2020,1 21,5,evening,2,18.85
63,2020,1 22,6,monring,0,754.0
64,2020,1 22,6,noon,0,799.0
65,2020,1 22,6,evening,2,62.0
66,2020,1 23,0,monring,2,70.35000000000001
67,2020,1 23,0,noon,0,825.0
68,2020,1 23,0,evening,2,76.60000000000001
69,2020,1 24,1,monring,1,216.0
70,2020,1 24,1,noon,0,265.0
71,2020,1 24,1,evening,0,406.0
72,2020,1 25,2,monring,0,418.0
73,2020,1 25,2,noon,1,173.0
74,2020,1 25,2,evening,2,16.45
75,2020,1 26,3,monring,0,455.0
76,2020,1 26,3,noon,1,114.5
77,2020,1 26,3,evening,2,13.75
78,2020,1 27,4,monring,1,261.0
79,2020,1 27,4,noon,0,268.0
80,2020,1 27,4,evening,0,471.0
81,2020,1 28,5,monring,0,437.0
82,2020,1 28,5,noon,0,369.0
83,2020,1 28,5,evening,2,22.25
84,2020,1 29,6,monring,0,798.0
85,2020,1 29,6,noon,0,740.0
86,2020,1 29,6,evening,1,694.0
87,2020,1 30,0,monring,2,63.85
88,2020,1 30,0,noon,0,838.0
89,2020,1 30,0,evening,1,871.0
90,2020,1 31,1,monring,1,198.0
91,2020,1 31,1,noon,0,386.0
92,2020,1 31,1,evening,1,327.0
93,2020,2 1,2,monring,2,17.150000000000002
94,2020,2 1,2,noon,1,163.0
95,2020,2 1,2,evening,1,248.0
96,2020,2 2,3,monring,0,390.0
97,2020,2 2,3,noon,0,359.5
98,2020,2 2,3,evening,0,339.0
99,2020,2 3,4,monring,0,388.0
100,2020,2 3,4,noon,0,358.0
101,2020,2 3,4,evening,1,266.0
102,2020,2 4,5,monring,1,237.0
103,2020,2 4,5,noon,2,4.9
104,2020,2 4,5,evening,0,374.0
105,2020,2 5,6,monring,0,752.0
106,2020,2 5,6,noon,2,44.0
