,year,m  d,day,t,wheather,count
400,2020,5 14,6,1,0,776.0
401,2020,5 14,6,2,2,68.9
402,2020,5 15,0,0,2,66.7
403,2020,5 15,0,1,1,670.0
404,2020,5 15,0,2,1,764.0
405,2020,5 16,1,0,0,376.0
406,2020,5 16,1,1,0,334.0
407,2020,5 16,1,2,1,295.0
408,2020,5 17,2,0,0,403.0
409,2020,5 17,2,1,0,407.0
410,2020,5 17,2,2,2,20.200000000000003
411,2020,5 18,3,0,1,273.5
412,2020,5 18,3,1,1,123.5
413,2020,5 18,3,2,2,14.4
414,2020,5 19,4,0,1,283.0
415,2020,5 19,4,1,0,306.0
416,2020,5 19,4,2,1,265.0
417,2020,5 20,5,0,0,383.0
418,2020,5 20,5,1,1,213.0
419,2020,5 20,5,2,0,427.0
420,2020,5 21,6,0,0,732.0
421,2020,5 21,6,1,2,47.25
422,2020,5 21,6,2,2,60.6
423,2020,5 22,0,0,0,925.0
424,2020,5 22,0,1,0,893.0
425,2020,5 22,0,2,0,855.0
426,2020,5 23,1,0,1,247.0
427,2020,5 23,1,1,2,6.3500000000000005
428,2020,5 23,1,2,0,479.0
429,2020,5 24,2,0,0,402.0
430,2020,5 24,2,1,0,295.0
431,2020,5 24,2,2,1,305.0
432,2020,5 25,3,0,1,284.0
433,2020,5 25,3,1,0,339.0
434,2020,5 25,3,2,0,415.0
435,2020,5 26,4,0,0,402.0
436,2020,5 26,4,1,2,13.25
437,2020,5 26,4,2,1,250.0
438,2020,5 27,5,0,0,349.0
439,2020,5 27,5,1,1,171.0
440,2020,5 27,5,2,0,381.0
441,2020,5 28,6,0,1,565.0
442,2020,5 28,6,1,0,702.0
443,2020,5 28,6,2,0,905.0
444,2020,5 29,0,0,0,899.0
445,2020,5 29,0,1,1,700.0
446,2020,5 29,0,2,1,736.0
447,2020,5 30,1,0,0,389.0
448,2020,5 30,1,1,0,226.0
449,2020,5 30,1,2,0,395.0
450,2020,5 31,2,0,1,283.0
451,2020,5 31,2,1,0,317.0
452,2020,5 31,2,2,2,14.9
453,2020,6 1,3,0,2,14.200000000000001
454,2020,6 1,3,1,0,213.0
455,2020,6 1,3,2,0,430.0
456,2020,6 2,4,0,0,397.0
457,2020,6 2,4,1,0,381.0
458,2020,6 2,4,2,0,321.0
459,2020,6 3,5,0,0,392.0
460,2020,6 3,5,1,0,325.0
461,2020,6 3,5,2,0,359.0
462,2020,6 4,6,0,0,740.0
463,2020,6 4,6,1,2,50.0
464,2020,6 4,6,2,0,837.0
465,2020,6 5,0,0,2,73.5
466,2020,6 5,0,1,2,61.550000000000004
467,2020,6 5,0,2,0,1009.0
468,2020,6 6,1,0,2,21.55
469,2020,6 6,1,1,0,353.0
470,2020,6 6,1,2,0,493.0
471,2020,6 7,2,0,0,490.0
472,2020,6 7,2,1,2,11.350000000000001
473,2020,6 7,2,2,0,406.0
474,2020,6 8,3,0,0,399.0
475,2020,6 8,3,1,1,163.5
476,2020,6 8,3,2,1,240.5
477,2020,6 9,4,0,0,456.0
478,2020,6 9,4,1,2,15.75
479,2020,6 9,4,2,0,415.0
480,2020,6 10,5,0,0,462.0
481,2020,6 10,5,1,0,353.0
482,2020,6 10,5,2,1,228.0
483,2020,6 11,6,0,0,852.0
484,2020,6 11,6,1,0,697.0
485,2020,6 11,6,2,0,801.0
486,2020,6 12,0,0,1,744.0
487,2020,6 12,0,1,1,673.0
488,2020,6 12,0,2,0,1028.0
489,2020,6 13,1,0,1,195.0
490,2020,6 13,1,1,0,372.0
491,2020,6 13,1,2,1,311.0
492,2020,6 14,2,0,1,304.0
493,2020,6 14,2,1,0,282.0
494,2020,6 14,2,2,1,242.0
495,2020,6 15,3,0,0,346.5
496,2020,6 15,3,1,0,359.5
497,2020,6 15,3,2,0,428.0
498,2020,6 16,4,0,1,285.0
499,2020,6 16,4,1,0,383.0
500,2020,6 16,4,2,0,438.0
501,2020,6 17,5,0,2,22.900000000000002
502,2020,6 17,5,1,2,3.0
503,2020,6 17,5,2,1,319.0
504,2020,6 18,6,0,1,626.0
505,2020,6 18,6,1,0,701.0
506,2020,6 18,6,2,0,826.0
507,2020,6 19,0,0,0,922.0
508,2020,6 19,0,1,0,793.0
509,2020,6 19,0,2,0,887.0
510,2020,6 20,1,0,2,12.450000000000001
511,2020,6 20,1,1,0,337.0
512,2020,6 20,1,2,0,486.0
513,2020,6 21,2,0,0,332.0
514,2020,6 21,2,1,0,293.0
515,2020,6 21,2,2,2,18.75
516,2020,6 22,3,0,0,408.0
517,2020,6 22,3,1,2,10.350000000000001
518,2020,6 22,3,2,1,327.5
519,2020,6 23,4,0,1,292.0
520,2020,6 23,4,1,0,233.0
521,2020,6 23,4,2,0,387.0
522,2020,6 24,5,0,1,297.0
523,2020,6 24,5,1,1,175.0
524,2020,6 24,5,2,0,418.0
525,2020,6 25,6,0,2,59.150000000000006
526,2020,6 25,6,1,0,761.0
527,2020,6 25,6,2,1,587.0
528,2020,6 26,0,0,1,768.0
529,2020,6 26,0,1,0,761.0
530,2020,6 26,0,2,1,830.0
531,2020,6 27,1,0,0,404.0
532,2020,6 27,1,1,1,175.0
533,2020,6 27,1,2,0,440.0
534,2020,6 28,2,0,0,410.0
535,2020,6 28,2,1,0,426.0
536,2020,6 28,2,2,1,252.0
537,2020,6 29,3,0,0,343.0
538,2020,6 29,3,1,2,0.55
539,2020,6 29,3,2,0,334.5
540,2020,6 30,4,0,1,281.0
541,2020,6 30,4,1,2,4.3
542,2020,6 30,4,2,0,338.0
543,2020,7 1,5,0,0,436.0
544,2020,7 1,5,1,1,173.0
545,2020,7 1,5,2,1,298.0
546,2020,7 2,6,0,0,836.0
547,2020,7 2,6,1,0,724.0
548,2020,7 2,6,2,1,748.0
549,2020,7 3,0,0,0,1066.0
550,2020,7 3,0,1,2,61.150000000000006
551,2020,7 3,0,2,0,970.0
552,2020,7 4,1,0,2,20.450000000000003
553,2020,7 4,1,1,2,6.15
554,2020,7 4,1,2,1,278.0
555,2020,7 5,2,0,2,20.450000000000003
556,2020,7 5,2,1,0,314.0
557,2020,7 5,2,2,2,19.1
558,2020,7 6,3,0,0,368.5
559,2020,7 6,3,1,0,308.0
560,2020,7 6,3,2,0,417.5
561,2020,7 7,4,0,1,242.0
562,2020,7 7,4,1,2,5.550000000000001
563,2020,7 7,4,2,0,481.0
564,2020,7 8,5,0,0,427.0
565,2020,7 8,5,1,2,5.4
566,2020,7 8,5,2,1,377.0
567,2020,7 9,6,0,1,619.0
568,2020,7 9,6,1,1,444.0
569,2020,7 9,6,2,0,892.0
570,2020,7 10,0,0,0,1025.0
571,2020,7 10,0,1,0,782.0
572,2020,7 10,0,2,0,984.0
573,2020,7 11,1,0,1,272.0
574,2020,7 11,1,1,1,142.0
575,2020,7 11,1,2,0,496.0
576,2020,7 12,2,0,2,11.15
577,2020,7 12,2,1,0,317.0
578,2020,7 12,2,2,0,434.0
