,year,m/d,day,time,wheather,count
600,2020,7 20,3,monring,0,395
601,2020,7 20,3,noon,0,321
602,2020,7 20,3,evening,1,283
603,2020,7 21,4,monring,2,15.35
604,2020,7 21,4,noon,0,287
605,2020,7 21,4,evening,2,15.1
606,2020,7 22,5,monring,2,20.35
607,2020,7 22,5,noon,2,4.25
608,2020,7 22,5,evening,1,356
609,2020,7 23,6,monring,0,867
610,2020,7 23,6,noon,0,739
611,2020,7 23,6,evening,2,55.9
612,2020,7 24,0,monring,0,
613,2020,7 24,0,noon,2,58.7
614,2020,7 24,0,evening,2,77.4
615,2020,7 25,1,monring,1,232
616,2020,7 25,1,noon,1,136
617,2020,7 25,1,evening,0,348
618,2020,7 26,2,monring,0,459
619,2020,7 26,2,noon,1,131
620,2020,7 26,2,evening,2,23
621,2020,7 27,3,monring,1,325.5
622,2020,7 27,3,noon,1,206
623,2020,7 27,3,evening,2,14.1
624,2020,7 28,4,monring,1,275
625,2020,7 28,4,noon,0,368
626,2020,7 28,4,evening,2,24.15
627,2020,7 29,5,monring,1,248
628,2020,7 29,5,noon,0,329
629,2020,7 29,5,evening,0,479
630,2020,7 30,6,monring,1,614
631,2020,7 30,6,noon,0,613
632,2020,7 30,6,evening,0,989
633,2020,7 31,0,monring,1,759
634,2020,7 31,0,noon,0,832
635,2020,7 31,0,evening,1,816
636,2020,8 1,1,monring,0,454
637,2020,8 1,1,noon,1,123
638,2020,8 1,1,evening,2,22.45
639,2020,8 2,2,monring,1,280
640,2020,8 2,2,noon,0,323
641,2020,8 2,2,evening,0,374
642,2020,8 3,3,monring,0,471
643,2020,8 3,3,noon,0,337
644,2020,8 3,3,evening,0,399
645,2020,8 4,4,monring,1,327
646,2020,8 4,4,noon,0,372
647,2020,8 4,4,evening,1,314
648,2020,8 5,5,monring,0,397
649,2020,8 5,5,noon,0,334
650,2020,8 5,5,evening,2,23.35
651,2020,8 6,6,monring,0,797
652,2020,8 6,6,noon,1,573
653,2020,8 6,6,evening,0,822
654,2020,8 7,0,monring,0,910
655,2020,8 7,0,noon,2,61.25
656,2020,8 7,0,evening,2,71.5
657,2020,8 8,1,monring,2,20.8
658,2020,8 8,1,noon,0,400
659,2020,8 8,1,evening,0,394
660,2020,8 9,2,monring,0,461
661,2020,8 9,2,noon,0,296
662,2020,8 9,2,evening,1,323
663,2020,8 10,3,monring,0,361
664,2020,8 10,3,noon,1,149.5
665,2020,8 10,3,evening,2,16.65
666,2020,8 11,4,monring,0,456
667,2020,8 11,4,noon,0,350
668,2020,8 11,4,evening,0,515
669,2020,8 12,5,monring,2,19.5
670,2020,8 12,5,noon,0,323
671,2020,8 12,5,evening,0,360
672,2020,8 13,6,monring,1,696
673,2020,8 13,6,noon,0,741
674,2020,8 13,6,evening,2,61.3
675,2020,8 14,0,monring,0,937
676,2020,8 14,0,noon,0,815
677,2020,8 14,0,evening,2,70.15
678,2020,8 15,1,monring,2,19.6
679,2020,8 15,1,noon,0,342
680,2020,8 15,1,evening,2,21.9
681,2020,8 16,2,monring,0,373
682,2020,8 16,2,noon,1,145
683,2020,8 16,2,evening,1,271
684,2020,8 17,3,monring,1,281
685,2020,8 17,3,noon,1,105
686,2020,8 17,3,evening,2,23.9
687,2020,8 18,4,monring,0,384
688,2020,8 18,4,noon,0,311
689,2020,8 18,4,evening,0,465
690,2020,8 19,5,monring,1,265
691,2020,8 19,5,noon,2,10.55
692,2020,8 19,5,evening,0,523
693,2020,8 20,6,monring,0,834
694,2020,8 20,6,noon,1,497
695,2020,8 20,6,evening,1,704
696,2020,8 21,0,monring,0,895
