,yer,m/d,day,time,wheather,count
800,2020,9 24,6,2,0,815.0
801,2020,9 25,0,0,0,956.0
802,2020,9 25,0,1,0,919.0
803,2020,9 25,0,2,0,885.0
804,2020,9 26,1,0,2,20.950000000000003
805,2020,9 26,1,1,0,359.0
806,2020,9 26,1,2,0,481.0
807,2020,9 27,2,0,0,398.0
808,2020,9 27,2,1,2,9.950000000000001
809,2020,9 27,2,2,1,285.0
810,2020,9 28,3,0,0,333.0
811,2020,9 28,3,1,1,174.0
812,2020,9 28,3,2,1,310.0
813,2020,9 29,4,0,0,440.0
814,2020,9 29,4,1,0,346.0
815,2020,9 29,4,2,0,473.0
816,2020,9 30,5,0,0,428.0
817,2020,9 30,5,1,0,310.0
818,2020,9 30,5,2,0,419.0
819,2020,10 1,6,0,2,59.85
820,2020,10 1,6,1,2,49.6
821,2020,10 1,6,2,2,57.35
822,2020,10 2,0,0,2,62.050000000000004
823,2020,10 2,0,1,2,61.45
824,2020,10 2,0,2,0,983.0
825,2020,10 3,1,0,0,421.0
826,2020,10 3,1,1,1,188.0
827,2020,10 3,1,2,0,381.0
828,2020,10 4,2,0,0,375.0
829,2020,10 4,2,1,0,262.0
830,2020,10 4,2,2,0,340.0
831,2020,10 5,3,0,0,286.0
832,2020,10 5,3,1,0,321.5
833,2020,10 5,3,2,0,460.0
834,2020,10 6,4,0,1,285.0
835,2020,10 6,4,1,0,307.0
836,2020,10 6,4,2,0,435.0
837,2020,10 7,5,0,0,335.0
838,2020,10 7,5,1,0,278.0
839,2020,10 7,5,2,0,474.0
840,2020,10 8,6,0,0,696.0
841,2020,10 8,6,1,0,721.0
842,2020,10 8,6,2,0,837.0
843,2020,10 9,0,0,2,75.55
844,2020,10 9,0,1,0,890.0
845,2020,10 9,0,2,0,990.0
846,2020,10 10,1,0,1,291.0
847,2020,10 10,1,1,1,201.0
848,2020,10 10,1,2,1,258.0
849,2020,10 11,2,0,2,21.35
850,2020,10 11,2,1,1,147.0
851,2020,10 11,2,2,1,336.0
852,2020,10 12,3,0,0,361.0
853,2020,10 12,3,1,1,177.5
854,2020,10 12,3,2,0,402.0
855,2020,10 13,4,0,0,483.0
856,2020,10 13,4,1,0,403.0
857,2020,10 13,4,2,0,398.0
858,2020,10 14,5,0,0,473.0
859,2020,10 14,5,1,0,254.0
860,2020,10 14,5,2,0,416.0
861,2020,10 15,6,0,0,835.0
862,2020,10 15,6,1,0,745.0
863,2020,10 15,6,2,2,61.7
864,2020,10 16,0,0,1,829.0
865,2020,10 16,0,1,2,60.5
866,2020,10 16,0,2,1,816.0
867,2020,10 17,1,0,1,306.0
868,2020,10 17,1,1,0,310.0
869,2020,10 17,1,2,2,19.700000000000003
870,2020,10 18,2,0,1,203.0
871,2020,10 18,2,1,1,171.0
872,2020,10 18,2,2,0,387.0
873,2020,10 19,3,0,0,463.0
874,2020,10 19,3,1,1,155.0
875,2020,10 19,3,2,0,333.0
876,2020,10 20,4,0,0,434.0
877,2020,10 20,4,1,2,3.25
878,2020,10 20,4,2,0,539.0
879,2020,10 21,5,0,0,469.0
880,2020,10 21,5,1,0,340.0
881,2020,10 21,5,2,1,251.0
882,2020,10 22,6,0,0,755.0
883,2020,10 22,6,1,1,488.0
884,2020,10 22,6,2,0,754.0
885,2020,10 23,0,0,2,75.45
886,2020,10 23,0,1,0,919.0
887,2020,10 23,0,2,0,937.0
888,2020,10 24,1,0,2,19.1
889,2020,10 24,1,1,0,410.0
890,2020,10 24,1,2,1,300.0
891,2020,10 25,2,0,1,282.0
892,2020,10 25,2,1,1,183.0
893,2020,10 25,2,2,0,386.0
894,2020,10 26,3,0,0,397.0
895,2020,10 26,3,1,0,276.0
896,2020,10 26,3,2,1,202.5
897,2020,10 27,4,0,0,486.0
898,2020,10 27,4,1,0,386.0
899,2020,10 27,4,2,2,15.0
900,2020,10 28,5,0,1,258.0
901,2020,10 28,5,1,2,1.85
902,2020,10 28,5,2,0,484.0
903,2020,10 29,6,0,0,814.0
904,2020,10 29,6,1,0,736.0
905,2020,10 29,6,2,0,874.0
906,2020,10 30,0,0,1,691.0
907,2020,10 30,0,1,2,66.7
908,2020,10 30,0,2,2,75.75
909,2020,10 31,1,0,0,366.0
910,2020,10 31,1,1,2,11.850000000000001
911,2020,10 31,1,2,2,15.100000000000001
912,2020,11 1,2,0,0,420.0
913,2020,11 1,2,1,0,302.0
914,2020,11 1,2,2,0,452.0
915,2020,11 2,3,0,2,8.85
916,2020,11 2,3,1,0,273.0
917,2020,11 2,3,2,0,371.5
918,2020,11 3,4,0,0,385.0
919,2020,11 3,4,1,0,392.0
920,2020,11 3,4,2,0,517.0
921,2020,11 4,5,0,0,378.0
922,2020,11 4,5,1,1,230.0
923,2020,11 4,5,2,1,256.0
924,2020,11 5,6,0,0,754.0
925,2020,11 5,6,1,1,560.0
926,2020,11 5,6,2,0,934.0
927,2020,11 6,0,0,0,947.0
928,2020,11 6,0,1,0,877.0
929,2020,11 6,0,2,0,1003.0
930,2020,11 7,1,0,0,375.0
931,2020,11 7,1,1,0,220.0
932,2020,11 7,1,2,1,302.0
933,2020,11 8,2,0,2,23.35
934,2020,11 8,2,1,2,10.15
935,2020,11 8,2,2,2,22.200000000000003
936,2020,11 9,3,0,0,448.5
937,2020,11 9,3,1,0,326.5
938,2020,11 9,3,2,1,258.0
939,2020,11 10,4,0,1,234.0
940,2020,11 10,4,1,0,232.0
941,2020,11 10,4,2,0,406.0
942,2020,11 11,5,0,0,378.0
943,2020,11 11,5,1,0,308.0
944,2020,11 11,5,2,1,328.0
945,2020,11 12,6,0,1,685.0
946,2020,11 12,6,1,0,730.0
947,2020,11 12,6,2,0,810.0
948,2020,11 13,0,0,0,918.0
949,2020,11 13,0,1,2,61.45
950,2020,11 13,0,2,0,999.0
951,2020,11 14,1,0,0,317.0
952,2020,11 14,1,1,0,314.0
953,2020,11 14,1,2,0,427.0
954,2020,11 15,2,0,2,9.700000000000001
955,2020,11 15,2,1,0,440.0
956,2020,11 15,2,2,1,292.0
957,2020,11 16,3,0,1,318.0
958,2020,11 16,3,1,2,11.9
959,2020,11 16,3,2,2,16.55
960,2020,11 17,4,0,0,399.0
961,2020,11 17,4,1,1,188.0
962,2020,11 17,4,2,0,314.0
963,2020,11 18,5,0,0,417.0
964,2020,11 18,5,1,0,234.0
965,2020,11 18,5,2,0,389.0
