,연도,날짜,요일,월,일
0,2022,1-1,토요일,1,1
1,2022,1-2,일요일,1,2
2,2022,1-3,월요일,1,3
3,2022,1-4,화요일,1,4
4,2022,1-5,수요일,1,5
5,2022,1-6,목요일,1,6
6,2022,1-7,금요일,1,7
7,2022,1-8,토요일,1,8
8,2022,1-9,일요일,1,9
9,2022,1-10,월요일,1,10
10,2022,1-11,화요일,1,11
11,2022,1-12,수요일,1,12
12,2022,1-13,목요일,1,13
13,2022,1-14,금요일,1,14
14,2022,1-15,토요일,1,15
15,2022,1-16,일요일,1,16
16,2022,1-17,월요일,1,17
17,2022,1-18,화요일,1,18
18,2022,1-19,수요일,1,19
19,2022,1-20,목요일,1,20
20,2022,1-21,금요일,1,21
21,2022,1-22,토요일,1,22
22,2022,1-23,일요일,1,23
23,2022,1-24,월요일,1,24
24,2022,1-25,화요일,1,25
25,2022,1-26,수요일,1,26
26,2022,1-27,목요일,1,27
27,2022,1-28,금요일,1,28
28,2022,1-29,토요일,1,29
29,2022,1-30,일요일,1,30
30,2022,1-31,월요일,1,31
31,2022,2-1,화요일,2,1
32,2022,2-2,수요일,2,2
33,2022,2-3,목요일,2,3
34,2022,2-4,금요일,2,4
35,2022,2-5,토요일,2,5
36,2022,2-6,일요일,2,6
37,2022,2-7,월요일,2,7
38,2022,2-8,화요일,2,8
39,2022,2-9,수요일,2,9
40,2022,2-10,목요일,2,10
41,2022,2-11,금요일,2,11
42,2022,2-12,토요일,2,12
43,2022,2-13,일요일,2,13
44,2022,2-14,월요일,2,14
45,2022,2-15,화요일,2,15
46,2022,2-16,수요일,2,16
47,2022,2-17,목요일,2,17
48,2022,2-18,금요일,2,18
49,2022,2-19,토요일,2,19
50,2022,2-20,일요일,2,20
51,2022,2-21,월요일,2,21
52,2022,2-22,화요일,2,22
53,2022,2-23,수요일,2,23
54,2022,2-24,목요일,2,24
55,2022,2-25,금요일,2,25
56,2022,2-26,토요일,2,26
57,2022,2-27,일요일,2,27
58,2022,2-28,월요일,2,28
59,2022,3-1,화요일,3,1
60,2022,3-2,수요일,3,2
61,2022,3-3,목요일,3,3
62,2022,3-4,금요일,3,4
63,2022,3-5,토요일,3,5
64,2022,3-6,일요일,3,6
65,2022,3-7,월요일,3,7
66,2022,3-8,화요일,3,8
67,2022,3-9,수요일,3,9
68,2022,3-10,목요일,3,10
69,2022,3-11,금요일,3,11
70,2022,3-12,토요일,3,12
71,2022,3-13,일요일,3,13
72,2022,3-14,월요일,3,14
73,2022,3-15,화요일,3,15
74,2022,3-16,수요일,3,16
75,2022,3-17,목요일,3,17
76,2022,3-18,금요일,3,18
77,2022,3-19,토요일,3,19
78,2022,3-20,일요일,3,20
79,2022,3-21,월요일,3,21
80,2022,3-22,화요일,3,22
81,2022,3-23,수요일,3,23
82,2022,3-24,목요일,3,24
83,2022,3-25,금요일,3,25
84,2022,3-26,토요일,3,26
85,2022,3-27,일요일,3,27
86,2022,3-28,월요일,3,28
87,2022,3-29,화요일,3,29
88,2022,3-30,수요일,3,30
89,2022,3-31,목요일,3,31
