Unnamed: 0,서울_미분양주택현황,서울_아파트실거래가격지수(2017.11=100),종합_서울_월세[2017.11=100],아파트_서울_월세[2017.11=100],연립다세대_서울_월세[2017.11=100],단독주택_서울_월세[2017.11=100],서울_건설인허가,아파트_서울_매매(2019.01=100),총지수_서울_매매(2019.01=100),아파트_서울_전세(2019.01=100),총지수_서울_전세(2019.01=100),서울_지가변동률
2007-01-01,697.0,75.6,,,,,1530.0,76.469,75.734,55.706,58.483,0.517
2007-02-01,590.0,75.5,,,,,2324.0,76.705,76.049,55.93,58.713,0.462
2007-03-01,687.0,76.2,,,,,4212.0,76.829,76.32,56.268,59.067,0.402
2007-04-01,685.0,75.7,,,,,6175.0,76.823,76.494,56.513,59.355,0.347
2007-05-01,704.0,74.7,,,,,8041.0,76.668,76.552,56.484,59.426,0.342
2007-06-01,778.0,76.3,,,,,9934.0,76.709,76.76,56.461,59.472,0.378
2007-07-01,840.0,76.9,,,,,9934.0,76.941,77.146,56.504,59.621,0.405
2007-08-01,730.0,77.4,,,,,9934.0,77.102,77.383,56.591,59.749,0.474
2007-09-01,724.0,77.5,,,,,9934.0,77.271,77.707,56.636,60.001,0.515
2007-10-01,977.0,78.0,,,,,9934.0,77.471,78.02,56.669,60.182,0.605
2007-11-01,1081.0,77.8,,,,,55087.0,77.715,78.388,56.615,60.315,0.656
2007-12-01,454.0,78.0,,,,,62842.0,77.823,78.638,56.554,60.345,0.627
2008-01-01,524.0,78.9,,,,,1401.0,78.199,79.187,56.668,60.55,0.532
2008-02-01,788.0,80.1,,,,,3978.0,78.62,79.716,56.82,60.875,0.591
2008-03-01,799.0,82.0,,,,,5040.0,79.708,80.871,57.211,61.439,0.703
2008-04-01,764.0,83.8,,,,,19630.0,81.282,82.201,57.575,61.97,0.777
2008-05-01,1016.0,84.5,,,,,25899.0,81.968,82.905,57.682,62.187,0.715
2008-06-01,1090.0,84.9,,,,,30952.0,82.388,83.476,57.703,62.401,0.664
2008-07-01,1437.0,84.0,,,,,35340.0,82.589,83.798,57.744,62.538,0.597
2008-08-01,1491.0,84.1,,,,,37749.0,82.582,83.973,57.742,62.62,0.586
2008-09-01,1530.0,82.4,,,,,39271.0,82.596,84.137,57.796,62.792,0.398
2008-10-01,1981.0,78.8,,,,,40792.0,82.346,84.044,57.667,62.734,-0.242
2008-11-01,2263.0,74.3,,,,,42395.0,81.651,83.611,57.097,62.299,-2.721
2008-12-01,2486.0,70.2,,,,,48417.0,80.314,82.597,55.562,61.039,-3.487
2009-01-01,2511.0,73.1,,,,,764.0,79.578,82.043,54.629,60.233,-0.914
2009-02-01,2460.0,75.9,,,,,2616.0,79.444,81.939,54.741,60.259,-0.437
2009-03-01,2459.0,76.6,,,,,3872.0,79.243,81.777,55.103,60.465,-0.033
2009-04-01,2295.0,79.1,,,,,5684.0,79.521,81.994,55.447,60.715,0.209
2009-05-01,2136.0,80.4,,,,,9043.0,79.658,82.069,55.671,60.859,0.204
2009-06-01,2085.0,82.0,,,,,10429.0,80.055,82.38,56.082,61.185,0.263
2009-07-01,2060.0,83.7,,,,,11194.0,80.759,82.916,56.576,61.597,0.276
2009-08-01,1960.0,85.5,,,,,12097.0,81.172,83.361,57.116,62.091,0.631
2009-09-01,1887.0,86.4,,,,,13760.0,82.135,84.295,58.709,63.493,0.387
2009-10-01,1778.0,85.8,,,,,16190.0,82.422,84.701,59.35,64.152,0.299
2009-11-01,1814.0,84.6,,,,,19710.0,82.405,84.767,59.845,64.527,0.242
2009-12-01,1803.0,84.3,,,,,36090.0,82.382,84.79,60.063,64.68,0.269
2010-01-01,1803.0,85.6,,,,,1273.0,82.455,84.88,60.394,64.918,0.247
2010-02-01,1813.0,85.3,,,,,2509.0,82.676,85.082,60.99,65.383,0.259
